title,year,genre,rating,director
The Shawshank Redemption,1994,Drama,9.3,Frank Darabont
The Godfather,1972,Crime,9.2,Francis Ford Coppola
The Dark Knight,2008,Action,9.0,Christopher Nolan
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino
Schindler's List,1993,Drama,8.9,Steven Spielberg
The Lord of the Rings: The Return of the King,2003,Fantasy,8.9,Peter Jackson
Fight Club,1999,Drama,8.8,David Fincher
Forrest Gump,1994,Drama,8.8,Robert Zemeckis
Inception,2010,Sci-Fi,8.8,Christopher Nolan
The Matrix,1999,Sci-Fi,8.7,The Wachowskis
Goodfellas,1990,Crime,8.7,Martin Scorsese
Star Wars: Episode V,1980,Sci-Fi,8.7,Irvin Kershner
Interstellar,2014,Sci-Fi,8.6,Christopher Nolan
The Silence of the Lambs,1991,Thriller,8.6,Jonathan Demme
Saving Private Ryan,1998,War,8.6,Steven Spielberg
The Green Mile,1999,Drama,8.6,Frank Darabont
Parasite,2019,Thriller,8.6,Bong Joon-ho
The Usual Suspects,1995,Crime,8.5,Bryan Singer
Se7en,1995,Crime,8.6,David Fincher
The Lion King,1994,Animation,8.5,Roger Allers
Back to the Future,1985,Sci-Fi,8.5,Robert Zemeckis
Gladiator,2000,Action,8.5,Ridley Scott
The Prestige,2006,Mystery,8.5,Christopher Nolan
Whiplash,2014,Drama,8.5,Damien Chazelle
The Departed,2006,Crime,8.5,Martin Scorsese
Django Unchained,2012,Western,8.4,Quentin Tarantino
The Dark Knight Rises,2012,Action,8.4,Christopher Nolan
WALL-E,2008,Animation,8.4,Andrew Stanton
American History X,1998,Drama,8.5,Tony Kaye
Alien,1979,Horror,8.4,Ridley Scott
Memento,2000,Mystery,8.4,Christopher Nolan
Raiders of the Lost Ark,1981,Adventure,8.4,Steven Spielberg
The Shining,1980,Horror,8.4,Stanley Kubrick
Joker,2019,Drama,8.4,Todd Phillips
Avengers: Endgame,2019,Action,8.4,Anthony Russo
The Wolf of Wall Street,2013,Biography,8.2,Martin Scorsese
Coco,2017,Animation,8.4,Lee Unkrich
Toy Story,1995,Animation,8.3,John Lasseter
Your Name,2016,Animation,8.4,Makoto Shinkai
Spirited Away,2001,Animation,8.6,Hayao Miyazaki
Princess Mononoke,1997,Animation,8.4,Hayao Miyazaki
Blade Runner,1982,Sci-Fi,8.1,Ridley Scott
Blade Runner 2049,2017,Sci-Fi,8.0,Denis Villeneuve
Mad Max: Fury Road,2015,Action,8.1,George Miller
The Grand Budapest Hotel,2014,Comedy,8.1,Wes Anderson
Get Out,2017,Horror,7.7,Jordan Peele
A Quiet Place,2018,Horror,7.5,John Krasinski
Knives Out,2019,Mystery,7.9,Rian Johnson
Dune,2021,Sci-Fi,8.0,Denis Villeneuve
Everything Everywhere All at Once,2022,Sci-Fi,8.0,Daniel Kwan
